"상품명","평가일","수익률"
"풍차9","2023-02-07","-0.0524375"
"풍차10","2023-02-07","-0.03990555556"
"풍차11","2023-02-07","-0.05849206897"
"풍차12","2023-02-07","-0.01446185567"
"풍차1","2023-03-06","0.004342198582"
"풍차2","2023-03-06","-0.06586448598"
"풍차3","2023-03-06","-0.0244080402"
"풍차4","2023-03-06","-0.02190551948"
"풍차5","2023-03-06","-0.008201034483"
"풍차6","2023-03-06","-0.0254"
"풍차7","2023-03-06","0.007370873786"
"풍차8","2023-03-06","-0.07274497992"
"풍차9","2023-03-06","-0.05606597222"
"풍차10","2023-03-06","-0.0390379085"
"풍차11","2023-03-06","-0.05513172414"
"풍차12","2023-03-06","-0.01622989691"
"풍차1","2023-04-14","0.04268865248"
"풍차2","2023-04-14","-0.0436685446"
"풍차3","2023-04-14","0.002259090909"
"풍차4","2023-04-14","-0.01636733333"
"풍차5","2023-04-14","0.01215758621"
"풍차6","2023-04-14","0.001942508711"
"풍차7","2023-04-14","0.06488058252"
"풍차8","2023-04-14","-0.05801566265"
"풍차9","2023-04-14","-0.01565729167"
"풍차10","2023-04-14","-0.03378856209"
"풍차11","2023-04-14","-0.04232586207"
"풍차12","2023-04-14","-0.00977371134"
"풍차1","2023-05-13","0.03087092199"
"풍차2","2023-05-13","-0.03970140845"
"풍차3","2023-05-13","0.001125252525"
"풍차4","2023-05-13","-0.01345066667"
"풍차5","2023-05-13","0.02008931034"
"풍차6","2023-05-13","0.009254355401"
"풍차7","2023-05-13","0.0201620438"
"풍차8","2023-05-13","-0.06209598394"
"풍차9","2023-05-13","-0.0350375"
"풍차10","2023-05-13","-0.04140620915"
"풍차11","2023-05-13","-0.04350034483"
"풍차12","2023-05-13","-0.0125257732"
"풍차1","2023-06-15","0.01715319149"
"풍차2","2023-06-15","-0.05799953052"
"풍차3","2023-06-15","-0.01798383838"
"풍차4","2023-06-15","-0.005830333333"
"풍차5","2023-06-15","0.02704793103"
"풍차6","2023-06-15","0.003691637631"
"풍차7","2023-06-15","-0.01922007299"
"풍차8","2023-06-15","-0.04279655172"
"풍차9","2023-06-15","-0.03414861111"
"풍차10","2023-06-15","-0.03288660131"
"풍차11","2023-06-15","-0.03157965517"
"풍차12","2023-06-15","0.0005108247423"
"풍차1","2023-07-08","0.0003138790036"
"풍차2","2023-07-08","-0.04576329114"
"풍차3","2023-07-08","-0.01230505051"
"풍차4","2023-07-08","-0.005728040541"
"풍차5","2023-07-08","0.03337291667"
"풍차6","2023-07-08","0.002893992933"
"풍차7","2023-07-08","-0.01456679104"
"풍차8","2023-07-08","-0.03975611285"
"풍차9","2023-07-08","-0.03216759582"
"풍차10","2023-07-08","-0.03866535948"
"풍차11","2023-07-08","-0.0306100346"
"풍차12","2023-07-08","-0.0003435233161"
"풍차1","2023-08-14","0.01534982206"
"풍차2","2023-08-14","-0.03604462025"
"풍차3","2023-08-14","-0.0006255892256"
"풍차4","2023-08-14","-0.005249324324"
"풍차5","2023-08-14","0.05514444444"
"풍차6","2023-08-14","0.01648056537"
"풍차7","2023-08-14","0.002192164179"
"풍차8","2023-08-14","-0.03399341693"
"풍차9","2023-08-14","-0.02420731707"
"풍차10","2023-08-14","-0.03547272727"
"풍차11","2023-08-14","-0.0207366782"
"풍차12","2023-08-14","0.002464766839"
"금종세A","2023-08-14","0.0184255015"
"풍차1","2023-09-14","0.02101119134"
"풍차2","2023-09-14","-0.03742974684"
"풍차3","2023-09-14","-0.001232323232"
"풍차4","2023-09-14","-0.006464527027"
"풍차5","2023-09-14","0.05320833333"
"풍차6","2023-09-14","0.01497349823"
"풍차7","2023-09-14","-0.007261567164"
"풍차8","2023-09-14","-0.03005485893"
"풍차9","2023-09-14","-0.02545749129"
"풍차10","2023-09-14","-0.03224713805"
"풍차11","2023-09-14","0.009368512111"
"풍차12","2023-09-14","0.008887046632"
"금종세A","2023-09-14","0.02306190409"
"풍차1","2023-10-14","0.0197166065"
"풍차2","2023-10-14","-0.05128670886"
"풍차3","2023-10-14","-0.01283872054"
"풍차4","2023-10-14","-0.01824358108"
"풍차5","2023-10-14","0.05249826389"
"풍차6","2023-10-14","-0.003439222615"
"풍차7","2023-10-14","-0.02265074627"
"풍차8","2023-10-14","-0.042969279"
"풍차9","2023-10-14","-0.03998919861"
"풍차10","2023-10-14","-0.04432861953"
"풍차11","2023-10-14","0.005985121107"
"풍차12","2023-10-14","0.003379285714"
"금종세A","2023-10-14","0.03811925926"
"풍차1","2023-11-16","-0.001981481481"
"풍차2","2023-11-16","-0.04516198083"
"풍차3","2023-11-16","-0.01637619048"
"풍차4","2023-11-16","-0.01718095238"
"풍차5","2023-11-16","0.0408261324"
"풍차6","2023-11-16","-0.001317793594"
"풍차7","2023-11-16","-0.02399138577"
"풍차8","2023-11-16","-0.03241823899"
"풍차9","2023-11-16","-0.03721328671"
"풍차10","2023-11-16","-0.04574594595"
"풍차11","2023-11-16","-0.002740766551"
"풍차12","2023-11-16","-0.005252857143"
"금종세A","2023-11-16","0.02046507937"
"풍차1","2023-12-16","0.03205555556"
"풍차2","2023-12-16","-0.01876943522"
"풍차3","2023-12-16","0.004139455782"
"풍차4","2023-12-16","0.006001020408"
"풍차5","2023-12-16","0.06873205575"
"풍차6","2023-12-16","0.03117864769"
"풍차7","2023-12-16","0.005297003745"
"풍차8","2023-12-16","0.00125"
"풍차9","2023-12-16","-0.006735314685"
"풍차10","2023-12-16","-0.01210067568"
"풍차11","2023-12-16","0.02322195122"
"풍차12","2023-12-16","0.007991071429"
"금종세A","2023-12-16","-0.02287"
"풍차1","2023-12-29","0.03866851852"
"풍차2","2023-12-29","-0.004322591362"
"풍차3","2023-12-29","0.001833333333"
"풍차4","2023-12-29","0.01720510204"
"풍차5","2023-12-29","0.08262752613"
"풍차6","2023-12-29","0.04056120996"
"풍차7","2023-12-29","0.01141123596"
"풍차8","2023-12-29","0.01152672956"
"풍차9","2023-12-29","0.003801398601"
"풍차10","2023-12-29","0.0002236486486"
"풍차11","2023-12-29","0.03440487805"
"풍차12","2023-12-29","0.01474821429"
"금종세A","2023-12-29","-0.07569666667"
"풍차1","2024-01-15","0.04759814815"
"풍차2","2024-01-15","-0.003911295681"
"풍차3","2024-01-15","-0.004099295775"
"풍차4","2024-01-15","0.01197346939"
"풍차5","2024-01-15","0.08512926829"
"풍차6","2024-01-15","0.04362953737"
"풍차7","2024-01-15","0.01584044944"
"풍차8","2024-01-15","0.008835534591"
"풍차9","2024-01-15","0.00738951049"
"풍차10","2024-01-15","0.003935472973"
"풍차11","2024-01-15","0.0356261324"
"풍차12","2024-01-15","0.01438327138"
"금종세A","2024-01-15","-0.02381452599"
"풍차1","2024-02-15","0.07419518519"
"풍차2","2024-02-15","0.009190365449"
"풍차3","2024-02-15","-0.001224647887"
"풍차4","2024-02-15","0.0158560815"
"풍차5","2024-02-15","0.08554912892"
"풍차6","2024-02-15","0.04909572954"
"풍차7","2024-02-15","0.04111235955"
"풍차8","2024-02-15","0.03037389937"
"풍차9","2024-02-15","0.01592797203"
"풍차10","2024-02-15","0.03215641892"
"풍차11","2024-02-15","0.04490662021"
"풍차12","2024-02-15","0.02972565056"
"금종세A","2024-02-15","-0.005664831804"
"풍차1","2024-03-15","0.08415111111"
"풍차2","2024-03-15","0.03738006645"
"풍차3","2024-03-15","0.01335387324"
"풍차4","2024-03-15","0.03685626766"
"풍차5","2024-03-15","0.09003104693"
"풍차6","2024-03-15","0.06743914591"
"풍차7","2024-03-15","0.07400786517"
"풍차8","2024-03-15","0.05661289308"
"풍차9","2024-03-15","0.0364479021"
"풍차10","2024-03-15","0.05988581081"
"풍차11","2024-03-15","0.05616585366"
"풍차12","2024-03-15","0.05659962825"
"금종세A","2024-03-15","0.006941903409"
"풍차1","2024-04-20","0.09164960938"
"풍차2","2024-04-20","0.04501833333"
"풍차3","2024-04-20","0.005611560694"
"풍차4","2024-04-20","0.03688835616"
"풍차5","2024-04-20","0.08212509091"
"풍차6","2024-04-20","0.03196532508"
"풍차7","2024-04-20","0.09598646617"
"풍차8","2024-04-20","0.04114511041"
"풍차9","2024-04-20","0.04335929825"
"풍차10","2024-04-20","0.03816946108"
"풍차11","2024-04-20","0.06263087719"
"풍차12","2024-04-20","0.06846842105"
"금종세A","2024-04-20","0.03708046683"
"풍차1","2024-05-15","0.1212405512"
"풍차2","2024-05-15","0.07245233333"
"풍차3","2024-05-15","0.03228947368"
"풍차4","2024-05-15","0.06833058419"
"풍차5","2024-05-15","0.1153153285"
"풍차6","2024-05-15","0.06229906832"
"풍차7","2024-05-15","0.08410684211"
"풍차8","2024-05-15","0.06866740506"
"풍차9","2024-05-15","0.05951824561"
"풍차10","2024-05-15","0.06185359281"
"풍차11","2024-05-15","0.08915316901"
"풍차12","2024-05-15","0.08883660377"
"금종세A","2024-05-15","0.05457121047"
"풍차1","2024-06-14","0.1476189723"
"풍차2","2024-06-14","0.09340771812"
"풍차3","2024-06-14","0.042145"
"풍차4","2024-06-14","0.1058617241"
"풍차5","2024-06-14","0.1469461538"
"풍차6","2024-06-14","0.08913738318"
"풍차7","2024-06-14","0.1115298153"
"풍차8","2024-06-14","0.06905710306"
"풍차9","2024-06-14","0.07743286219"
"풍차10","2024-06-14","0.08264006024"
"풍차11","2024-06-14","0.1073003534"
"풍차12","2024-06-14","0.1164874525"
"금종세A","2024-06-14","0.06802773939"
"풍차1","2024-08-01","0.158058498"
"풍차2","2024-08-01","0.09138288591"
"풍차3","2024-08-01","0.04648852941"
"풍차4","2024-08-01","0.09772793103"
"풍차5","2024-08-01","0.153829304"
"풍차6","2024-08-01","0.1054233645"
"풍차7","2024-08-01","0.1067646438"
"풍차8","2024-08-01","0.08831754875"
"풍차9","2024-08-01","0.07209858657"
"풍차10","2024-08-01","0.06949837838"
"풍차11","2024-08-01","0.1149826855"
"풍차12","2024-08-01","0.1259053232"
"금종세A","2024-08-01","0.09647481132"
"핵위월","2024-08-01","-0.01061904762"
"풍차1","2024-08-15","0.1593932806"
"풍차2","2024-08-15","0.09349697987"
"풍차3","2024-08-15","0.03766411765"
"풍차4","2024-08-15","0.09806931034"
"풍차5","2024-08-15","0.1475901099"
"풍차6","2024-08-15","0.100429595"
"풍차7","2024-08-15","0.097376781"
"풍차8","2024-08-15","0.08037214485"
"풍차9","2024-08-15","0.06326572438"
"풍차10","2024-08-15","0.05890432432"
"풍차11","2024-08-15","0.1069975265"
"풍차12","2024-08-15","0.1281577947"
"금종세A","2024-08-15","0.09024311321"
"금종세B","2024-08-15","0.01679"
"핵위월","2024-08-15","-0.0155472973"
"풍차1","2024-09-26","0.1908424603"
"풍차2","2024-09-26","0.09793657718"
"풍차3","2024-09-26","0.03224415584"
"풍차4","2024-09-26","0.1305958333"
"풍차5","2024-09-26","0.1709625"
"풍차6","2024-09-26","0.1343946875"
"풍차7","2024-09-26","0.09045835411"
"풍차8","2024-09-26","0.1011652661"
"풍차9","2024-09-26","0.07935567376"
"풍차10","2024-09-26","0.07789376694"
"풍차11","2024-09-26","0.07729946237"
"풍차12","2024-09-26","0.09996458924"
"금종세A","2024-09-26","0.08599283019"
"금종세B","2024-09-26","0.008975"
"핵위월","2024-09-26","0.001675238095"
"풍차1","2024-10-15","0.2005488095"
"풍차2","2024-10-15","0.09865302013"
"풍차3","2024-10-15","0.02582805195"
"풍차4","2024-10-15","0.1382993056"
"풍차5","2024-10-15","0.1804647059"
"풍차6","2024-10-15","0.14970625"
"풍차7","2024-10-15","0.08003740648"
"풍차8","2024-10-15","0.09802997199"
"풍차9","2024-10-15","0.0856893617"
"풍차10","2024-10-15","0.08324336043"
"풍차11","2024-10-15","0.06821532258"
"풍차12","2024-10-15","0.09708951841"
"금종세A","2024-10-15","0.09490150943"
"금종세B","2024-10-15","0.03178695652"
"핵위월","2024-10-15","0.007906299213"
"풍차1","2024-11-15","0.145019943"
"풍차2","2024-11-15","0.0596473262"
"풍차3","2024-11-15","0.03940961039"
"풍차4","2024-11-15","0.1515041958"
"풍차5","2024-11-15","0.1987737037"
"풍차6","2024-11-15","0.1505883648"
"풍차7","2024-11-15","0.09912868421"
"풍차8","2024-11-15","0.1015248588"
"풍차9","2024-11-15","0.08487805755"
"풍차10","2024-11-15","0.08496493151"
"풍차11","2024-11-15","0.07665798319"
"풍차12","2024-11-15","0.09600948276"
"금종세A","2024-11-15","0.1437600841"
"금종세B","2024-11-15","0.03178695652"
"핵위월","2024-11-15","0.03110953846"
"ISA","2024-11-15","-0.001608269422"
"풍차1","2024-12-15","0.1703244253"
"풍차2","2024-12-15","0.09413126685"
"풍차3","2024-12-15","0.05294986945"
"풍차4","2024-12-15","0.1799622378"
"풍차5","2024-12-15","0.2375359259"
"풍차6","2024-12-15","0.1752701258"
"풍차7","2024-12-15","0.1284289125"
"풍차8","2024-12-15","0.1303059659"
"풍차9","2024-12-15","0.112733574"
"풍차10","2024-12-15","0.108030854"
"풍차11","2024-12-15","0.0989"
"풍차12","2024-12-15","0.1190930636"
"금종세A","2024-12-15","0.1721511719"
"금종세B","2024-12-15","0.06742036364"
"핵위월","2024-12-15","0.04976040462"
"ISA","2024-12-15","0.01704630131"
"풍차1","2025-01-15","0.1506508671"
"풍차2","2025-01-15","0.08657533875"
"풍차3","2025-01-15","0.0266968254"
"풍차4","2025-01-15","0.1726831579"
"풍차5","2025-01-15","0.2164104089"
"풍차6","2025-01-15","0.1602574132"
"풍차7","2025-01-15","0.1079532086"
"풍차8","2025-01-15","0.1228789174"
"풍차9","2025-01-15","0.09218985507"
"풍차10","2025-01-15","0.1047576177"
"풍차11","2025-01-15","0.071334375"
"풍차12","2025-01-15","0.09332478134"
"금종세A","2025-01-15","0.1783482233"
"금종세B","2025-01-15","0.0552178825"
"핵위월","2025-01-15","0.02003134715"
"ISA","2025-01-15","0.03487388013"
"풍차1","2025-02-15","0.2139747093"
"풍차2","2025-02-15","0.1608112045"
"풍차3","2025-02-15","0.06496702128"
"풍차4","2025-02-15","0.1909068729"
"풍차5","2025-02-15","0.2710669145"
"풍차6","2025-02-15","0.208851735"
"풍차7","2025-02-15","0.133132345"
"풍차8","2025-02-15","0.1654574286"
"풍차9","2025-02-15","0.1170036364"
"풍차10","2025-02-15","0.1035320856"
"풍차11","2025-02-15","0.1039848571"
"풍차12","2025-02-15","0.1657519062"
"금종세A","2025-02-15","0.1493795726"
"금종세B","2025-02-15","0.04493300971"
"핵위월","2025-02-15","0.04771388889"
"ISA","2025-02-15","0.03487388013"
"풍차1","2025-03-25","0.1930354651"
"풍차2","2025-03-25","0.1520120448"
"풍차3","2025-03-25","0.064325"
"풍차4","2025-03-25","0.2086271478"
"풍차5","2025-03-25","0.15466475"
"풍차6","2025-03-25","0.1861611987"
"풍차7","2025-03-25","0.1287169811"
"풍차8","2025-03-25","0.1701651429"
"풍차9","2025-03-25","0.1239996364"
"풍차10","2025-03-25","0.08326122995"
"풍차11","2025-03-25","0.1029308571"
"풍차12","2025-03-25","0.1451381232"
"금종세A","2025-03-25","0.1493988889"
"금종세B","2025-03-25","0.03614016667"
"핵위월","2025-03-25","0.03330509434"
"ISA","2025-03-25","-0.002161779935"
"풍차1","2025-04-15","0.1237133721"
"풍차2","2025-04-15","0.08839388889"
"풍차3","2025-04-15","0.005609840426"
"풍차4","2025-04-15","0.1503986254"
"풍차5","2025-04-15","0.08341825"
"풍차6","2025-04-15","0.06678225"
"풍차7","2025-04-15","0.04543989218"
"풍차8","2025-04-15","0.1410811429"
"풍차9","2025-04-15","0.061184"
"풍차10","2025-04-15","0.01395013333"
"풍차11","2025-04-15","0.02791657143"
"풍차12","2025-04-15","0.08962903226"
"금종세A","2025-04-15","0.09811111111"
"금종세B","2025-04-15","-0.05118442857"
"핵위월","2025-04-15","-0.05136262295"
"ISA","2025-04-15","-0.08520380596"
"풍차1","2025-05-15","0.1654665698"
"풍차2","2025-05-15","0.1352302778"
"풍차3","2025-05-15","0.03657739362"
"풍차4","2025-05-15","0.2141714777"
"풍차5","2025-05-15","0.12601575"
"풍차6","2025-05-15","0.106799"
"풍차7","2025-05-15","0.07351675"
"풍차8","2025-05-15","0.1752371429"
"풍차9","2025-05-15","0.1084483636"
"풍차10","2025-05-15","0.06436986667"
"풍차11","2025-05-15","0.06907142857"
"풍차12","2025-05-15","0.118855132"
"금종세A","2025-05-15","0.1115302564"
"금종세B","2025-05-15","-0.0064435"
"핵위월","2025-05-15","0.008506197183"
"ISA","2025-05-15","-0.02476234379"
"풍차1","2025-06-16","0.1631386628"
"풍차2","2025-06-16","0.1413191667"
"풍차3","2025-06-16","0.0357412234"
"풍차4","2025-06-16","0.2859075601"
"풍차5","2025-06-16","0.12806975"
"풍차6","2025-06-16","0.11722925"
"풍차7","2025-06-16","0.0797825"
"풍차8","2025-06-16","0.16060075"
"풍차9","2025-06-16","0.1117803636"
"풍차10","2025-06-16","0.08172026667"
"풍차11","2025-06-16","0.06761942857"
"풍차12","2025-06-16","0.1274445748"
"금종세A","2025-06-16","0.07713931624"
"금종세B","2025-06-16","-0.02792695652"
"핵위월","2025-06-16","0.001327530864"
"ISA","2025-06-16","-0.01937879718"
"풍차1","2025-07-16","0.166494"
"풍차2","2025-07-16","0.153563"
"풍차3","2025-07-16","0.054427"
"풍차4","2025-07-16","0.2496215"
"풍차5","2025-07-16","0.15316925"
"풍차6","2025-07-16","0.14277825"
"풍차7","2025-07-16","0.1024175"
"풍차8","2025-07-16","0.18741925"
"풍차9","2025-07-16","0.1031565"
"풍차10","2025-07-16","0.1150016"
"풍차11","2025-07-16","0.08203514286"
"풍차12","2025-07-16","0.1297199413"
"금종세A","2025-07-16","0.1145267521"
"금종세B","2025-07-16","-0.005519130435"
"핵위월","2025-07-16","0.04357493827"
"ISA","2025-07-16","0.01515932134"
"풍차1","2025-08-13","0.19181825"
"풍차2","2025-08-13","0.17032875"
"풍차3","2025-08-13","0.06877325"
"풍차4","2025-08-13","0.271803"
"풍차5","2025-08-13","0.1707215"
"풍차6","2025-08-13","0.168469"
"풍차7","2025-08-13","0.10579775"
"풍차8","2025-08-13","0.2018395"
"풍차9","2025-08-13","0.115657"
"풍차10","2025-08-13","0.1255835"
"풍차11","2025-08-13","0.09736714286"
"풍차12","2025-08-13","0.1403794721"
"금종세A","2025-08-13","0.1259382906"
"금종세B","2025-08-13","0.0051275"
"핵위월","2025-08-13","0.06074518519"
"핵위월2","2025-08-13","0.01687"
"ISA","2025-08-13","0.03544304497"
"풍차1","2025-09-14","0.219463"
"풍차2","2025-09-14","0.2115765"
"풍차3","2025-09-14","0.109352"
"풍차4","2025-09-14","0.33125025"
"풍차5","2025-09-14","0.2094175"
"풍차6","2025-09-14","0.21688175"
"풍차7","2025-09-14","0.15359525"
"풍차8","2025-09-14","0.2365735"
"풍차9","2025-09-14","0.1533645"
"풍차10","2025-09-14","0.15980275"
"풍차11","2025-09-14","0.127952"
"풍차12","2025-09-14","0.1798055718"
"금종세A","2025-09-14","0.1461881197"
"금종세B","2025-09-14","0.04599323529"
"핵위월","2025-09-14","0.08595506173"
"핵위월2","2025-09-14","0.03410333333"
"ISA","2025-09-14","0.06727651531"
"풍차1","2025-10-14","0.249514"
"풍차2","2025-10-14","0.25894225"
"풍차3","2025-10-14","0.19432625"
"풍차4","2025-10-14","0.38688675"
"풍차5","2025-10-14","0.25543"
"풍차6","2025-10-14","0.26124"
"풍차7","2025-10-14","0.204999"
"풍차8","2025-10-14","0.303214"
"풍차9","2025-10-14","0.22760375"
"풍차10","2025-10-14","0.19838375"
"풍차11","2025-10-14","0.159464"
"풍차12","2025-10-14","0.18771975"
"금종세A","2025-10-14","0.1980761538"
"금종세B","2025-10-14","0.09741170859"
"핵위월","2025-10-14","0.03239309524"
"핵위월2","2025-10-14","0.1541896296"
"ISA","2025-10-14","0.1326052636"
"풍차1","2025-11-14","0.268636"
"풍차2","2025-11-14","0.291538"
"풍차3","2025-11-14","0.18623"
"풍차4","2025-11-14","0.41954575"
"풍차5","2025-11-14","0.286219"
"풍차6","2025-11-14","0.2918195"
"풍차7","2025-11-14","0.239039"
"풍차8","2025-11-14","0.30344075"
"풍차9","2025-11-14","0.233877"
"풍차10","2025-11-14","0.219981"
"풍차11","2025-11-14","0.1969522857"
"풍차12","2025-11-14","0.2160865"
"금종세A","2025-11-14","0.2008536752"
"금종세B","2025-11-14","0.1267119617"
"핵위월","2025-11-14","0.07018119048"
"핵위월2","2025-11-14","0.1710060938"
"ISA","2025-11-14","0.119642853"
"풍차1","2025-12-14","0.2998365"
"풍차2","2025-12-14","0.297203"
"풍차3","2025-12-14","0.21898125"
"풍차4","2025-12-14","0.46325425"
"풍차5","2025-12-14","0.31696175"
"풍차6","2025-12-14","0.32019425"
"풍차7","2025-12-14","0.26083725"
"풍차8","2025-12-14","0.3365415"
"풍차9","2025-12-14","0.2589735"
"풍차10","2025-12-14","0.24490375"
"풍차11","2025-12-14","0.2240974286"
"풍차12","2025-12-14","0.254029"
"금종세A","2025-12-14","0.2013231624"
"금종세B","2025-12-14","0.1301985987"
"핵위월","2025-12-14","0.1025002381"
"핵위월2","2025-12-14","0.1911995652"
"ISA","2025-12-14","0.119642853"
"풍차1","2026-01-15","0.357822"
"풍차2","2026-01-15","0.32582325"
"풍차3","2026-01-15","0.24849125"
"풍차4","2026-01-15","0.52607675"
"풍차5","2026-01-15","0.36232675"
"풍차6","2026-01-15","0.37473575"
"풍차7","2026-01-15","0.3027175"
"풍차8","2026-01-15","0.387607"
"풍차9","2026-01-15","0.309013"
"풍차10","2026-01-15","0.29416375"
"풍차11","2026-01-15","0.2468054286"
"풍차12","2026-01-15","0.29763775"
"금종세A","2026-01-15","0.005549851181"
"금종세B","2026-01-15","0.08744858603"
"핵위월","2026-01-15","0.1254942857"
"핵위월2","2026-01-15","0.214135942"
"ISA","2026-01-15","0.2565544987"
"풍차1","2026-02-18","0.3712365"
"풍차2","2026-02-18","0.3257655"
"풍차3","2026-02-18","0.23802725"
"풍차4","2026-02-18","0.5404425"
"풍차5","2026-02-18","0.42525175"
"풍차6","2026-02-18","0.38260975"
"풍차7","2026-02-18","0.34040925"
"풍차8","2026-02-18","0.38665775"
"풍차9","2026-02-18","0.33932525"
"풍차10","2026-02-18","0.29681875"
"풍차11","2026-02-18","0.271692"
